사타, 45, 142
차자, 44, 156
차나, 59, 164
바사, 51, 197
아바, 91, 158
가마, 63, 191
파차, 77, 197
차자, 61, 191
하카, 53, 142
타타, 56, 163
나자, 70, 191
타사, 49, 149
아타, 71, 165
마나, 54, 193
자마, 42, 160
카자, 48, 156
나바, 81, 173
가타, 60, 177
가타, 72, 184
아타, 70, 176
다나, 99, 140
차마, 82, 165
차하, 60, 192
사나, 90, 147
파타, 91, 160
마마, 99, 172
나자, 44, 148
마나, 65, 177
파나, 85, 146
타나, 87, 170
카차, 55, 176
파파, 42, 146
파다, 90, 189
타나, 62, 179
다사, 85, 172
라가, 86, 157
자타, 86, 182
가아, 81, 154
차카, 84, 170
다라, 99, 198
하하, 62, 195
하다, 68, 163
다나, 79, 179
가하, 80, 167
라아, 66, 193
카자, 91, 161
나마, 54, 188
마라, 52, 190
라가, 77, 180
하카, 56, 165
나타, 81, 150
카아, 95, 142
차라, 50, 164
라자, 44, 148
파타, 40, 190
가다, 48, 161
아자, 51, 182
사가, 86, 141
하사, 47, 155
카파, 57, 158
가차, 55, 199
아가, 74, 188
카바, 57, 163
자카, 84, 148
카차, 78, 165
다나, 86, 198
마자, 55, 145
하다, 69, 164
하다, 76, 180
자하, 49, 175
타하, 85, 146
타차, 58, 173
라마, 92, 144
하가, 90, 169
타다, 43, 184
다하, 74, 159
아바, 90, 165
사자, 40, 185
차카, 54, 166
라타, 76, 184
파가, 93, 146
카자, 40, 154
나바, 97, 180
하파, 89, 186
차차, 78, 158
사나, 86, 182
바마, 74, 158
사바, 41, 164
바차, 54, 148
바다, 73, 164
타파, 84, 193
다바, 84, 192
카카, 56, 186
하카, 48, 149
사파, 95, 146
차다, 80, 177
차가, 66, 172
마파, 85, 163
사나, 97, 174
다바, 91, 171
하마, 98, 166
자파, 77, 193
가자, 79, 168
자사, 52, 162
카카, 91, 197
라아, 55, 157
타타, 49, 187
사나, 87, 187
사아, 67, 164
나자, 58, 164
가사, 49, 158
다바, 61, 149
가가, 83, 150
차가, 45, 142
카카, 99, 150
타하, 69, 177
다가, 44, 157
가다, 91, 154
파하, 74, 143
라하, 85, 142
다하, 79, 164
하차, 56, 166
파사, 64, 198
바하, 91, 165
하사, 49, 171
파아, 73, 158
아하, 71, 179
타마, 59, 143
카나, 63, 199
바파, 53, 188
차마, 93, 175
아파, 71, 182
사타, 80, 160
자바, 52, 199
나파, 75, 165
바파, 68, 196
타가, 72, 166
바바, 53, 168
라나, 84, 187
타하, 81, 142
자차, 56, 189
나다, 70, 178
마사, 92, 167
하파, 80, 176
아바, 69, 171
마파, 85, 176
다아, 61, 158
바마, 82, 154
파하, 46, 169
마다, 58, 188
라마, 74, 165
라가, 98, 176
가마, 46, 164
바라, 91, 187
자차, 90, 156
차다, 77, 196
라다, 75, 160
하라, 95, 169
마하, 61, 183
사바, 42, 143
파사, 91, 154
타사, 46, 187
하마, 66, 160
나파, 82, 152
아카, 79, 140
타마, 40, 184
바타, 50, 179
하아, 88, 174
가사, 86, 153
다자, 59, 199
하가, 74, 150
자파, 86, 196
파자, 47, 187
다다, 43, 193
아가, 54, 190
차라, 92, 180
차라, 81, 171
나사, 78, 153
타라, 95, 199
카라, 42, 151
사사, 78, 160
차다, 96, 174
마마, 59, 172
타파, 52, 176
아차, 89, 199
하나, 56, 187
마마, 74, 198
라파, 51, 162
나바, 97, 145
사사, 41, 158
하아, 52, 199
아타, 73, 151
바사, 63, 182
다카, 73, 171
사카, 95, 183
아마, 50, 174
다아, 58, 195
사하, 93, 169
파라, 50, 187
하자, 74, 199
나마, 54, 180
타자, 84, 196
차차, 64, 189
사마, 40, 144
바자, 43, 193
하라, 40, 162
바카, 48, 182
가파, 81, 149
가사, 59, 197
카가, 65, 187
하마, 97, 161
아자, 93, 154
아라, 87, 192
가자, 82, 146
하라, 68, 141
마아, 77, 177
자아, 83, 154
라카, 70, 199
타타, 68, 173
나차, 84, 154
아가, 81, 149
라가, 92, 191
가바, 98, 154
마마, 72, 161
바나, 46, 196
자파, 61, 172
자카, 66, 196
사아, 88, 168
바가, 66, 150
카차, 62, 196
가자, 48, 148
카아, 75, 169
타파, 57, 165
사아, 49, 150
하가, 86, 162
라라, 95, 171
가카, 82, 178
바라, 73, 155
파카, 54, 177
라타, 44, 196
라자, 72, 185
가하, 54, 168
아나, 50, 198
카카, 63, 174
가마, 60, 155
차마, 74, 155
다차, 88, 143
